Real,Predicho,SKU_ID,CEDI,Fecha
1397.0,1373.2045,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-08
1372.0,1382.7869,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-09
1413.0,1398.0237,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-10
1421.0,1394.2593,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-11
1406.0,1380.4196,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-12
1414.0,1395.3821,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-13
1393.0,1370.3383,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-14
1384.0,1364.6984,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-15
1412.0,1387.0624,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-16
1412.0,1390.899,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-17
1400.0,1361.0956,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-18
1416.0,1350.2356,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-19
1440.0,1340.1957,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-20
1447.0,1363.9634,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-21
1455.0,1367.457,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-22
1443.0,1386.77,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-23
1400.0,1341.078,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-24
1392.0,1366.1531,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-25
1399.0,1337.2518,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-26
1437.0,1365.4437,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-27
1451.0,1349.5814,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-28
1440.0,1388.3812,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-29
1439.0,1401.8489,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-30
1432.0,1379.0856,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-03-31
1466.0,1405.5137,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-01
1439.0,1384.4231,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-02
1401.0,1355.3291,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-03
1380.0,1355.4791,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-04
1407.0,1373.4495,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-05
1413.0,1359.4462,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-06
1439.0,1383.2382,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-07
1392.0,1381.0848,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-08
1413.0,1361.6796,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-09
1382.0,1371.1226,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-10
1393.0,1387.8347,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-11
1384.0,1389.4489,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-12
1402.0,1361.3026,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-13
1411.0,1318.426,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-14
1435.0,1353.2125,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-15
1442.0,1347.5844,HZ-Salsa-Verde-200g,CEDI_Bajio,2024-04-16
1279.0,1377.9021,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-08
1307.0,1380.7075,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-09
1328.0,1392.3257,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-10
1329.0,1405.5612,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-11
1331.0,1400.0011,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-12
1340.0,1405.3466,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-13
1370.0,1429.0865,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-14
1385.0,1397.8973,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-15
1388.0,1349.11,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-16
1378.0,1382.2772,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-17
1353.0,1357.0646,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-18
1368.0,1424.4967,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-19
1364.0,1421.6519,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-20
1334.0,1365.4669,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-21
1331.0,1382.6509,HZ-Salsa-Verde-200g,CEDI_Norte,2024-03-22
